capital,latitude,longitude,tmi2020,url
Manaus,-3.0521356,-59.9871084,12.8,"https://www.google.com/maps/place/3%C2%B003'07.7%22S+59%C2%B058'57.0%22W/@-3.0521356,-59.9871084,17z/data=!3m1!4b1!4m13!1m8!3m7!1s0x926c1bc8b37647b7:0x2b485c9ff765a9cc!2sManaus,+AM!3b1!8m2!3d-3.1190275!4d-60.0217314!16zL20vMDJia2sz!3m3!8m2!3d-3.052141!4d-59.982495?entry=ttu"
Macapá,0.1015799,-51.094989,19.7,"https://www.google.com.br/maps/place/Macap%C3%A1,+AP/@0.1015799,-51.094989,11z/data=!3m1!4b1!4m6!3m5!1s0x8d61e5e06b4b1a37:0x56357df330df0f97!8m2!3d0.0405217!4d-51.0560957!16zL20vMDNkejVx?entry=ttu"
Porto Velho,-8.7563671,-63.9373097,17.6,"https://www.google.com/maps/place/Porto+Velho,+RO/@-8.7563671,-63.9373097,12z/data=!3m1!4b1!4m6!3m5!1s0x92325b665998520b:0x75d0f25ad2c5198b!8m2!3d-8.7635475!4d-63.8971723!16s%2Fg%2F11bc5pvkw0?entry=ttu"
Rio Branco,-9.9863305,-67.8310967,15,"https://www.google.com.br/maps/place/Rio+Branco,+AC/@-9.9863305,-67.8310967,12z/data=!3m1!4b1!4m6!3m5!1s0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c!8m2!3d-9.9740249!4d-67.8098191!16zL20vMDNkejhz?entry=ttu"
Boa Vista,2.807199,-60.6965615,13.5,"https://www.google.com.br/maps/place/Boa+Vista,+RR/@2.807199,-60.6965615,12z/data=!3m1!4b1!4m6!3m5!1s0x8d9305cacbaaa4db:0xb72e65c7a9d75f45!8m2!3d2.8206339!4d-60.6737553!16zL20vMDMzYl9y?entry=ttu"
Belém,-1.3413519,-48.4468639,15.7,"https://www.google.com.br/maps/place/Bel%C3%A9m,+PA/@-1.3413519,-48.4468639,11z/data=!3m1!4b1!4m6!3m5!1s0x92a461af84756ce1:0x570d540215864c35!8m2!3d-1.4563432!4d-48.501299!16s%2Fg%2F1pxyyzx3r?entry=ttu"
Palmas,-10.2600597,-48.3472344,12.1,"https://www.google.com.br/maps/place/Palmas,+TO/@-10.2600597,-48.3472344,11z/data=!3m1!4b1!4m6!3m5!1s0x933b3439911f1257:0x93b8070d05c818f!8m2!3d-10.249091!4d-48.3242858!16zL20vMDducHB6?entry=ttu"
Curitiba,-25.4951166,-49.2897982,7.1,"https://www.google.com.br/maps/place/Curitiba,+PR/@-25.4951166,-49.2897982,11z/data=!3m1!4b1!4m6!3m5!1s0x94dce35351cdb3dd:0x6d2f6ba5bacbe809!8m2!3d-25.4268985!4d-49.2651984!16zL20vMDI4bXBy?entry=ttu"
Porto Alegre,-30.1088701,-51.1771419,7.7,"https://www.google.com/maps/place/Porto+Alegre,+RS/@-30.1087672,-51.3419525,11z/data=!4m6!3m5!1s0x95199cd2566acb1d:0x603111a89f87e91f!8m2!3d-30.0368176!4d-51.2089887!16zL20vMDE3NTc1?entry=ttu"
Florianópolis,-27.5715955,-48.4702792,7.7,"https://www.google.com.br/maps/place/Florian%C3%B3polis,+SC/@-27.5715955,-48.4702792,10z/data=!3m1!4b1!4m6!3m5!1s0x9527394eb2c632d7:0x81bc550b6a04c746!8m2!3d-27.5968578!4d-48.5468118!16s%2Fg%2F11bc6xlppd?entry=ttu"
São Paulo,-23.6824124,-46.5952992,10.2,"https://www.google.com.br/maps/place/S%C3%A3o+Paulo,+SP/@-23.6824124,-46.5952992,10z/data=!3m1!4b1!4m6!3m5!1s0x94ce448183a461d1:0x9ba94b08ff335bae!8m2!3d-23.5557714!4d-46.6395571!16zL20vMDIycGZt?entry=ttu"
