 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
" MUNICIPIO IGNORADO - RO";9;19;71;1;2;3;2;-;-;1;2;3;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;116
"110001 ALTA FLORESTA D'OESTE";12;14;17;36;10;12;12;7;5;12;8;4;8;4;10;6;5;7;2;7;5;5;3;3;2;2;2;220
"110002 ARIQUEMES";69;54;47;35;30;30;32;34;21;21;27;21;39;16;20;16;15;19;23;18;26;23;26;18;11;18;32;741
"110003 CABIXI";2;2;2;5;3;3;1;1;4;-;2;-;2;1;1;2;1;1;2;3;-;-;1;2;2;1;-;44
"110004 CACOAL";29;35;48;35;27;28;37;24;24;21;24;18;20;23;15;12;17;18;23;25;17;14;19;7;22;13;13;608
"110005 CEREJEIRAS";12;10;10;3;5;5;9;12;5;5;2;4;5;2;3;4;6;3;5;1;3;1;4;4;2;2;1;128
"110006 COLORADO DO OESTE";13;14;11;5;8;7;5;6;8;3;10;5;6;4;10;3;3;4;3;2;1;5;2;1;-;-;4;143
"110007 CORUMBIARA";5;2;1;1;2;3;1;2;5;2;2;-;-;3;3;4;-;1;3;-;3;2;1;-;5;1;3;55
"110008 COSTA MARQUES";10;11;1;7;7;7;7;3;7;10;7;7;7;8;2;7;5;4;5;7;4;7;2;6;5;2;3;158
"110009 ESPIGAO D'OESTE";16;11;15;13;13;14;9;13;10;12;8;6;8;8;13;11;6;8;11;8;7;4;6;8;4;5;5;252
"110010 GUAJARA-MIRIM";14;9;13;13;8;13;8;17;5;14;14;14;18;18;16;12;11;11;19;16;16;18;22;8;19;13;12;371
"110011 JARU";56;38;41;31;28;26;22;21;23;12;19;13;13;15;16;7;11;13;9;12;10;7;11;4;9;13;12;492
"110012 JI-PARANA";68;58;78;52;76;48;33;47;44;51;34;42;29;37;46;30;25;30;25;33;20;23;39;25;24;18;21;1056
"110013 MACHADINHO D'OESTE";8;14;10;4;11;11;8;15;13;7;9;2;13;10;6;5;9;7;5;11;7;3;2;10;3;5;12;220
"110014 NOVA BRASILANDIA D'OESTE";8;4;7;8;7;8;2;9;5;6;5;6;2;7;8;4;1;5;4;2;1;-;2;8;2;2;4;127
"110015 OURO PRETO DO OESTE";35;22;17;22;25;18;18;15;17;11;4;13;12;15;8;12;8;10;4;7;7;3;8;9;-;7;1;328
"110018 PIMENTA BUENO";14;17;14;12;12;13;18;9;16;9;11;5;8;4;10;8;9;12;14;10;6;9;8;8;9;11;11;287
"110020 PORTO VELHO";82;237;264;321;294;230;254;247;201;196;175;168;129;151;176;111;128;124;121;121;134;121;107;110;139;116;98;4555
"110025 PRESIDENTE MEDICI";11;17;10;11;14;8;4;6;2;3;3;6;9;10;3;8;3;5;2;5;5;11;3;3;2;1;3;168
"110026 RIO CRESPO";5;1;-;-;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;1;14
"110028 ROLIM DE MOURA";37;42;29;23;25;19;14;18;17;16;13;7;13;13;10;5;11;10;11;23;9;5;12;8;8;8;8;414
"110029 SANTA LUZIA D'OESTE";11;10;8;2;5;-;4;2;5;1;3;1;3;1;2;2;-;1;2;-;1;1;1;-;1;-;1;68
"110030 VILHENA";37;29;22;19;17;28;24;17;24;16;17;15;16;18;26;20;22;17;19;19;20;22;16;14;16;17;21;548
"110032 SAO MIGUEL DO GUAPORE";10;7;15;4;12;9;11;8;12;5;5;5;5;6;1;4;6;2;4;4;4;6;4;8;5;4;2;168
"110033 NOVA MAMORE";3;4;3;3;6;3;4;4;7;7;8;6;8;8;8;5;5;8;4;4;5;9;9;4;3;4;2;144
"110034 ALVORADA D'OESTE";9;18;14;7;7;14;7;7;9;7;11;6;3;3;5;2;-;2;1;4;-;3;-;1;2;-;1;143
"110037 ALTO ALEGRE DOS PARECIS";-;2;5;2;4;6;1;1;5;2;1;5;2;6;2;6;2;2;5;1;-;2;-;1;-;1;1;65
"110040 ALTO PARAISO";4;2;6;2;1;3;4;1;4;1;3;4;3;4;8;1;2;1;6;5;6;5;7;1;1;3;5;93
"110045 BURITIS";-;6;8;12;11;11;20;14;17;14;9;11;8;10;4;8;3;6;12;9;6;13;8;3;4;9;7;243
"110050 NOVO HORIZONTE DO OESTE";-;2;2;3;7;3;-;3;2;-;2;2;2;1;-;-;-;2;3;-;-;-;-;-;1;1;-;36
"110060 CACAULANDIA";1;-;-;1;1;2;3;1;-;1;1;1;2;1;1;-;1;1;1;-;-;-;-;-;-;-;1;20
"110070 CAMPO NOVO DE RONDONIA";9;5;2;4;4;5;4;1;1;3;2;3;3;2;6;5;4;1;2;2;1;1;-;2;1;2;5;80
"110080 CANDEIAS DO JAMARI";-;1;-;-;-;11;5;2;2;3;5;6;3;9;8;11;9;9;10;8;6;3;5;8;2;7;4;137
"110090 CASTANHEIRAS";4;1;1;1;1;2;2;1;1;-;-;2;-;-;1;-;1;2;1;1;3;-;-;-;1;1;-;27
"110092 CHUPINGUAIA";-;4;5;1;2;2;2;-;3;1;2;3;2;5;-;1;3;2;1;5;2;2;1;1;1;2;2;55
"110094 CUJUBIM";-;1;-;2;1;2;2;3;2;2;3;7;4;3;6;2;4;5;4;4;2;2;3;-;7;2;3;76
"110100 GOVERNADOR JORGE TEIXEIRA";5;5;5;5;5;3;5;1;5;2;2;3;-;-;1;2;4;3;2;1;1;1;3;2;1;2;2;71
"110110 ITAPUA DO OESTE";-;1;2;-;-;-;1;1;1;-;1;2;-;2;-;2;1;-;2;-;1;2;-;-;2;1;1;23
"110120 MINISTRO ANDREAZZA";2;2;2;1;5;2;-;2;1;4;-;1;2;1;2;5;4;3;4;1;-;-;2;-;2;1;-;49
"110130 MIRANTE DA SERRA";1;5;6;8;2;10;5;6;7;5;6;3;2;2;3;2;4;2;1;2;2;2;1;1;1;2;4;95
"110140 MONTE NEGRO";9;3;6;12;7;3;10;3;3;4;4;-;3;5;3;1;1;4;1;4;2;2;2;2;-;3;6;103
"110143 NOVA UNIAO";-;1;-;-;-;1;1;1;2;2;2;-;3;3;1;1;-;3;1;2;1;-;1;1;1;2;1;31
"110145 PARECIS";-;-;-;-;1;1;3;1;3;2;-;-;-;-;3;-;-;2;1;-;-;2;2;-;1;-;-;22
"110146 PIMENTEIRAS DO OESTE";-;-;2;1;-;2;-;1;-;1;-;1;1;1;2;2;1;-;1;-;1;-;2;-;-;1;-;20
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;2;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;2;1;2;-;-;2;13
"110148 SAO FELIPE D'OESTE";-;4;2;1;2;-;1;3;-;1;-;3;1;-;-;-;-;1;1;1;-;1;-;2;-;-;-;24
