 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2020
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";5;1096;466;817;312;244;108;1338;4386
".. Rondônia";1;98;33;59;22;9;5;109;336
".. Acre";-;31;24;63;16;22;6;81;243
".. Amazonas";-;257;107;151;80;56;39;361;1051
".. Roraima";-;58;28;32;18;48;11;69;264
".. Pará";3;507;230;415;139;81;41;560;1976
".. Amapá";-;75;22;51;28;9;5;74;264
".. Tocantins";1;70;22;46;9;19;1;84;252
"Região Nordeste";3;2679;1174;2015;429;418;174;3105;9997
".. Maranhão";-;381;190;298;86;73;27;403;1458
".. Piauí";1;157;73;100;45;17;17;218;628
".. Ceará";-;355;176;308;62;59;16;441;1417
".. Rio Grande do Norte";-;160;34;104;11;10;6;167;492
".. Paraíba";-;153;85;169;34;33;14;227;715
".. Pernambuco";-;498;154;223;44;82;25;467;1493
".. Alagoas";-;115;67;162;26;24;15;170;579
".. Sergipe";-;143;62;92;16;20;5;167;505
".. Bahia";2;717;333;559;105;100;49;845;2710
"Região Sudeste";5;3237;1119;1959;459;511;154;3630;11074
".. Minas Gerais";-;775;235;471;69;91;73;868;2582
".. Espírito Santo";-;151;65;80;15;34;4;176;525
".. Rio de Janeiro";2;735;287;378;143;172;24;767;2508
".. São Paulo";3;1576;532;1030;232;214;53;1819;5459
"Região Sul";1;1171;293;437;111;146;42;1203;3404
".. Paraná";1;496;123;126;49;64;20;482;1361
".. Santa Catarina";-;273;80;140;25;30;10;355;913
".. Rio Grande do Sul";-;402;90;171;37;52;12;366;1130
"Região Centro-Oeste";-;717;217;444;124;144;50;882;2578
".. Mato Grosso do Sul";-;119;23;91;15;43;9;151;451
".. Mato Grosso";-;123;59;143;47;40;17;260;689
".. Goiás";-;295;107;190;51;47;22;342;1054
".. Distrito Federal";-;180;28;20;11;14;2;129;384
"Total";14;8900;3269;5672;1435;1463;528;10158;31439
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
